Date,Price,Open,High,Low,Vol.,Change %
05/30/2025,19113.77,"19,131.22","19,157.78","18,847.74",2.09B,-0.32%
05/29/2025,19175.87,"19,389.39","19,389.39","19,091.54",1.33B,0.39%
05/28/2025,19100.94,"19,232.62","19,276.83","19,084.38",1.24B,-0.51%
05/27/2025,19199.16,"19,014.44","19,210.95","18,961.69",1.39B,2.47%
05/23/2025,18737.21,"18,622.38","18,841.52","18,599.69",1.21B,-1.00%
05/22/2025,18925.73,"18,888.05","19,061.11","18,840.34",1.31B,0.28%
05/21/2025,18872.64,"19,002.94","19,241.41","18,799.20",1.49B,-1.41%
05/20/2025,19142.71,"19,132.06","19,186.69","19,015.63",1.29B,-0.38%
05/19/2025,19215.46,"18,937.42","19,227.22","18,937.42",1.56B,0.02%
05/16/2025,19211.10,"19,151.54","19,213.42","19,038.48",1.61B,0.52%
05/15/2025,19112.32,"19,031.24","19,207.22","18,967.78",1.47B,-0.18%
05/14/2025,19146.81,"19,074.72","19,174.55","19,023.61",1.62B,0.72%
05/13/2025,19010.09,"18,761.23","19,065.96","18,745.50",1.56B,1.61%
05/12/2025,18708.34,"18,674.55","18,710.22","18,472.71",1.76B,4.35%
05/09/2025,17928.92,"18,022.55","18,068.90","17,853.84",1.37B,0.00%
05/08/2025,17928.14,"17,920.15","18,096.00","17,776.00",1.46B,1.07%
05/07/2025,17738.16,"17,706.83","17,820.29","17,503.01",1.43B,0.27%
05/06/2025,17689.66,"17,623.21","17,830.35","17,592.88",1.23B,-0.87%
05/05/2025,17844.24,"17,817.01","17,965.64","17,792.08",1.14B,-0.74%
05/02/2025,17977.73,"17,868.76","18,048.83","17,812.04",1.30B,1.51%
05/01/2025,17710.74,"17,793.14","17,922.83","17,688.11",1.27B,1.52%
04/30/2025,17446.34,"17,099.98","17,483.82","16,959.53",1.48B,-0.09%
04/29/2025,17461.32,"17,270.76","17,500.41","17,256.20",1.33B,0.55%
04/28/2025,17366.13,"17,390.93","17,467.35","17,128.71",1.27B,-0.10%
04/25/2025,17382.94,"17,182.11","17,404.49","17,110.72",1.17B,1.26%
04/24/2025,17166.04,"16,754.76","17,174.35","16,744.97",1.30B,2.74%
04/23/2025,16708.05,"16,880.29","17,029.86","16,642.66",1.41B,2.50%
04/22/2025,16300.42,"16,079.94","16,410.56","16,038.73",1.20B,2.71%
04/21/2025,15870.90,"16,052.76","16,066.79","15,685.33",1.14B,-2.55%
04/17/2025,16286.45,"16,399.97","16,408.51","16,181.17",1.25B,-0.13%
04/16/2025,16307.16,"16,499.69","16,600.37","16,066.46",1.34B,-3.07%
04/15/2025,16823.17,"16,842.39","16,979.96","16,753.21",1.16B,-0.05%
04/14/2025,16831.48,"17,120.44","17,136.55","16,661.26",1.36B,0.64%
04/11/2025,16724.46,"16,358.53","16,753.41","16,228.04",1.53B,2.06%
04/10/2025,16387.31,"16,635.45","16,712.37","15,894.26",1.88B,-4.31%
